overall_rank,amfi_code,scheme_name,fund_house,return_3yr_pct,sharpe_ratio,alpha,beta,expense_ratio_pct,max_drawdown_pct,fund_score
15,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,14.56,0.9393621577599311,0.20873010086942337,-0.02638771994384303,1.52,-15.27259422823477,56.81
16,125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,13.38,0.7895427197023165,0.17729754927531766,0.048820404259577385,0.92,-15.200013055606398,54.5
17,118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,20.15,0.4564261243061777,0.1750072167561127,0.10349663691337589,1.53,-23.34488614483311,54.44
18,120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,14.76,0.6621241011051735,0.1625385327998104,0.04189646272811975,1.41,-19.82565826298267,51.62
19,125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,15.29,0.31160409740522227,0.11989100971217971,0.009054412621739139,0.78,-21.11727956013212,50.75
20,119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,23.14,-0.04910116945430198,0.048824215945539845,0.06200180438267164,0.72,-52.57422117012851,49.94
21,118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,12.33,0.6596198173038668,0.15643835948169668,-0.03663900671860934,0.72,-18.62974313859551,48.56
22,101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,22.38,0.17048069518831582,0.10897091901704538,-0.06528924788351526,1.53,-35.44691649336603,48.06
23,120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,7.68,0.9041623305389642,0.06746210411099539,-0.0004440926329707226,0.74,-0.09773140045925555,47.5
24,118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,11.77,0.6803950621402518,0.1513635464823924,-0.001433521389780139,0.89,-11.650624505409091,46.75
25,120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,11.54,0.812502301948814,0.17703302365844073,-0.0402689523698206,1.42,-13.897862823061635,46.62
26,102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,15.34,0.632319243278044,0.16211256794033255,0.016682689437770806,1.64,-21.539827112383225,45.19
27,102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,12.1,0.8328147683762687,0.17048756803412696,-0.019486785689474536,1.57,-10.85986215250232,45.0
28,119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,20.98,-0.0679256784693741,0.04801595363775955,-0.06695117463929198,1.38,-51.677753708526566,43.25
29,120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,18.23,0.08727318479040215,0.0780443887615508,0.018056874208118162,1.56,-24.003511326274886,42.38
30,149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,12.82,0.4780917280523983,0.13173190226099432,-0.004050271130006511,1.54,-14.844576917771747,40.31
31,120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,6.18,0.30425182333434503,0.06455677495375998,-0.0004007442394784006,0.6,-0.11629327956168556,39.25
32,119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,12.14,0.14404122210428394,0.08232801295222093,0.02588321244009315,0.75,-21.751396370148225,36.88
33,120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,12.25,0.5092559163430058,0.13042924450705445,0.0363563990221998,1.59,-17.57361416468729,34.5
34,102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,15.61,-0.1947073805832031,0.02896939786637944,-0.04212502902189429,1.51,-28.00112356639287,32.06
35,119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,6.07,-0.17572336328229415,0.05620895216638369,-0.006413850728276476,0.77,-4.328728923970093,30.12
36,118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,5.31,-0.30601321923949243,0.05074772999976104,0.0012566742731558475,0.55,-8.316361763638703,29.75
37,100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,7.37,-0.5154378235861931,0.042817920315060876,0.0011582183155281417,0.56,-4.308263824636349,29.38
38,100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,14.84,-0.18765046878624003,0.03747580763443281,-0.05826843143880891,1.55,-24.734440880673304,27.62
39,101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,5.14,-0.41722938246152713,0.060861457957871144,0.00026670968338238335,0.79,-0.16224980244717857,26.38
40,119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,11.84,0.04524532299034368,0.0689952982167755,0.009730745001153627,1.64,-14.401617909337261,25.31
